male,white,black,hispanic,mompro2,poppro2,siblings,norest96,norcen96,south96,west96,height81,height85,esteem80,athlets,wage96,hgc96,daded79,momed79,age,clubnum
0,1,0,0,0,0,6,1,0,0,0,66,66,28,1,,16,12,12,39,0
1,1,0,0,0,0,6,0,0,1,0,71,72,28,1,96.153847,15,12,12,36,0
1,1,0,0,0,1,6,1,0,0,0,76,76,23,1,17.788462,13,18,15,35,0
0,1,0,0,0,1,6,1,0,0,0,65,65,28,0,13.460704,14,18,14,33,2
0,1,0,0,0,1,1,1,0,0,0,63,64,22,0,10.121457,12,13,12,34,0
1,1,0,0,1,0,2,1,0,0,0,70,70,27,0,10.495626,12,13,16,36,0
0,1,0,0,0,0,2,1,0,0,0,63,63,25,0,4.2313118,13,10,12,36,1
1,1,0,0,0,0,1,0,0,1,0,72,72,22,0,18.162394,12,14,12,33,0
0,1,0,0,0,1,2,,,,,65,66,26,0,,,12,14,,0
1,1,0,0,0,0,3,1,0,0,0,74,75,22,1,23.584906,18,13,13,34,1
0,1,0,0,0,0,3,1,0,0,0,64,64,23,0,13.888889,16,13,13,32,3
1,0,0,1,0,0,6,1,0,0,0,69,69,22,0,13.736263,12,12,8,37,0
1,0,0,1,0,0,5,1,0,0,0,65,65,25,0,12.857142,12,11,8,36,0
0,0,0,1,0,1,5,1,0,0,0,60,61,23,1,12.019231,10,12,8,35,1
0,0,0,1,0,0,5,1,0,0,0,62,64,22,0,11.673152,16,12,,32,0
0,1,0,0,0,0,3,1,0,0,0,69,69,22,0,10.62753,12,8,10,37,0
0,1,0,0,0,0,4,1,0,0,0,66,65,23,0,,12,9,10,34,0
0,1,0,0,0,0,4,1,0,0,0,67,67,24,0,4.7555556,12,8,11,33,0
0,0,0,1,0,0,11,1,0,0,0,64,64,22,0,3.4749036,10,7,6,36,1
1,0,1,0,0,0,1,1,0,0,0,74,74,26,0,1.0638298,12,,10,37,0
0,1,0,0,0,0,2,1,0,0,0,65,65,27,1,1.5151515,18,12,12,39,4
0,1,0,0,0,0,2,0,0,1,0,63,64,21,1,5,13,12,12,36,2
0,1,0,0,0,1,3,,,,,65,,25,1,,,18,12,,0
1,1,0,0,1,0,1,,,,,71,71,21,1,,,12,12,,0
1,1,0,0,0,1,10,1,0,0,0,66,,24,1,13.928572,12,,,33,0
0,1,0,0,0,0,2,1,0,0,0,62,62,23,1,12.230769,12,,12,38,2
0,0,0,1,0,0,4,1,0,0,0,59,60,19,0,12.019231,12,12,6,32,0
1,0,0,1,0,0,4,1,0,0,0,65,67,21,0,,11,12,6,,0
1,0,0,1,0,0,2,,,,,67,67,20,0,,,6,2,,0
1,0,0,1,0,0,5,1,0,0,0,67,68,20,0,14.423077,12,,5,34,1
1,0,0,1,0,0,5,1,0,0,0,61,61,20,0,7.2115383,12,,5,36,0
1,0,0,1,0,0,6,1,0,0,0,63,64,20,0,10.769231,12,,4,33,1
1,0,0,1,0,0,5,1,0,0,0,67,66,19,0,,11,,5,31,1
0,0,0,1,0,0,1,,,,,59,,21,,,,,3,,
1,0,1,0,0,1,0,1,0,0,0,70,69,25,1,11.298077,13,11,11,36,0
0,1,0,0,1,0,1,1,0,0,0,63,63,22,0,11.655949,12,12,,38,0
1,1,0,0,0,0,1,0,0,1,0,65,68,21,0,8.0769234,12,12,12,34,0
1,1,0,0,0,0,5,1,0,0,0,70,70,21,1,27.027027,13,12,12,37,0
1,1,0,0,0,0,4,0,0,1,0,68,69,23,1,9.6153851,12,8,12,35,0
1,1,0,0,0,0,4,1,0,0,0,69,73,21,0,16.826923,12,12,,31,0
0,1,0,0,0,0,3,1,0,0,0,64,66,24,1,16.812866,12,10,,34,5
1,1,0,0,0,0,3,1,0,0,0,,65,28,0,15.348837,11,10,11,32,0
0,1,0,0,0,0,4,1,0,0,0,67,66,,1,1.2875537,12,,,37,0
1,1,0,0,0,0,2,1,0,0,0,71,67,19,0,5,12,10,,32,0
1,1,0,0,0,1,2,1,0,0,0,67,67,22,0,17.857143,12,12,12,32,0
1,1,0,0,1,1,2,1,0,0,0,73,73,27,1,8.8269234,16,18,12,37,0
1,1,0,0,0,1,2,1,0,0,0,70,70,24,0,9.4095945,12,12,12,33,0
0,1,0,0,0,0,1,1,0,0,0,64,64,26,0,25.961538,18,,,39,2
1,1,0,0,0,0,1,1,0,0,0,69,,20,1,14.717425,12,10,12,36,0
0,1,0,0,0,1,4,1,0,0,0,67,66,22,0,30.448717,16,12,10,,1
0,1,0,0,0,1,4,0,0,1,0,64,64,28,1,,14,12,10,38,0
1,1,0,0,0,0,3,1,0,0,0,70,73,21,0,19.23077,12,12,13,36,0
1,1,0,0,0,0,3,1,0,0,0,68,71,20,0,8,9,12,12,34,0
