itn,education,age,rural,pregnant,infant,malmessage,altitude,household
0,8,18,1,0,0,1,2.084,473
1,7,40,1,0,0,0,2.084,474
0,6,40,1,0,0,0,2.084,475
1,10,33,1,0,0,1,2.084,476
1,6,21,1,0,1,0,1.375,477
1,6,15,1,0,0,1,1.375,478
1,6,19,1,1,0,0,1.375,479
1,5,19,1,0,1,0,1.375,480
0,8,15,1,0,0,0,1.375,481
1,4,35,1,0,0,1,1.375,482
1,7,44,1,0,0,1,1.375,483
0,8,21,1,0,0,1,1.375,483
0,11,21,1,0,0,1,1.375,483
1,9,18,1,0,0,1,1.375,483
1,7,15,1,0,0,1,1.375,484
1,11,37,1,0,0,1,1.375,485
1,3,25,1,0,0,1,1.375,486
1,7,18,1,0,0,1,1.375,487
1,5,18,1,0,1,1,1.375,487
0,7,23,1,1,0,1,1.375,488
1,4,33,1,0,0,1,1.375,489
1,5,35,1,0,0,1,1.375,490
1,2,32,1,1,0,1,1.375,491
1,4,16,1,0,0,0,1.375,492
1,2,33,1,0,0,0,1.316,493
1,2,49,1,0,0,1,1.316,494
0,6,33,1,0,1,1,1.316,494
0,5,41,1,0,0,1,1.316,495
0,8,20,1,0,0,1,1.316,495
1,7,27,1,1,0,1,1.398,496
1,6,26,1,0,0,1,1.398,497
0,7,24,1,0,0,1,1.398,498
1,6,20,1,0,1,0,1.398,499
1,3,29,1,0,1,1,1.398,500
0,10,16,1,0,0,1,1.398,500
1,6,26,1,1,0,1,1.398,501
1,11,26,1,1,0,0,1.398,502
1,7,26,1,1,0,1,1.398,503
1,5,20,1,1,0,1,1.398,504
1,4,45,1,0,0,0,1.398,505
0,11,41,1,0,0,1,1.398,505
1,6,31,1,0,0,1,1.398,506
1,5,35,1,0,1,1,1.398,507
0,5,15,1,0,0,1,1.398,507
1,3,25,1,0,1,1,1.398,508
1,7,33,1,0,0,1,1.398,509
1,5,43,1,0,0,1,1.398,510
0,11,19,1,0,0,1,1.398,510
1,6,39,1,1,0,1,1.398,511
1,3,39,1,0,0,1,1.631,512
1,1,29,1,0,1,0,1.631,513
1,5,31,1,0,0,1,1.631,514
0,6,17,1,0,0,0,1.631,514
0,11,19,1,0,0,0,1.631,515
1,5,37,1,1,0,0,1.631,516
1,4,22,1,0,1,1,1.513,517
1,5,24,1,1,0,0,1.513,518
1,7,48,1,0,0,1,1.513,519
1,6,23,1,0,0,0,1.513,520
1,6,22,1,0,0,1,1.513,521
1,1,30,1,1,0,1,1.513,522
0,5,15,1,0,0,1,1.513,522
1,4,26,1,0,1,1,1.513,523
1,5,36,1,0,0,0,1.513,524
1,1,39,1,0,0,1,1.513,525
1,7,27,1,0,0,1,1.513,526
1,0,45,1,0,0,1,1.513,527
1,1,45,1,0,0,1,1.513,528
1,4,36,1,1,0,1,1.085,529
1,2,39,1,0,1,1,1.085,530
1,6,27,1,0,1,1,1.085,531
1,15,29,1,1,0,1,1.085,532
0,0,42,1,0,0,1,1.085,533
0,3,20,1,0,0,0,1.085,533
0,6,16,1,0,0,1,1.085,533
1,2,20,1,0,1,1,1.085,533
0,15,29,1,0,0,1,1.085,534
1,0,33,1,0,0,0,1.085,535
1,5,31,1,0,1,1,1.085,536
